Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1980","1980","ha","1156500","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1981","1981","ha","2045000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1982","1982","ha","2045800","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1983","1983","ha","2050400","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1984","1984","ha","2039100","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1985","1985","ha","2051000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1986","1986","ha","2063000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1987","1987","ha","2057000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1988","1988","ha","2035000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1989","1989","ha","2054000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1990","1990","ha","2064000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1991","1991","ha","2074000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1992","1992","ha","2051000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1993","1993","ha","2092000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1994","1994","ha","2094000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1995","1995","ha","2119395","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1996","1996","ha","2125630","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1997","1997","ha","2207556","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1998","1998","ha","2194000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","1999","1999","ha","2200000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2000","2000","ha","2300000","F","Estimación FAO"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2001","2001","ha","2400000","F","Estimación FAO"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2002","2002","ha","2430582","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2003","2003","ha","2439582","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2004","2004","ha","2464774","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2005","2005","ha","2465258","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2006","2006","ha","2483697","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2007","2007","ha","2470162","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2008","2008","ha","2450471","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2009","2009","ha","2449828","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2010","2010","ha","2475466","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2011","2011","ha","2503675","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2012","2012","ha","2504261","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2013","2013","ha","2507000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2014","2014","ha","2515800","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2015","2015","ha","2351370","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2016","2016","ha","2521694","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2017","2017","ha","2554829","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2018","2018","ha","2579000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5312","Área cosechada","260","Aceitunas, olivas","2019","2019","ha","2601900","","Datos oficiales"
