Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1980","1980","toneladas","2255000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1981","1981","toneladas","1520800","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1982","1982","toneladas","3337900","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1983","1983","toneladas","1328400","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1984","1984","toneladas","3525400","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1985","1985","toneladas","1989500","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1986","1986","toneladas","2556800","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1987","1987","toneladas","3879000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1988","1988","toneladas","2223700","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1989","1989","toneladas","2945700","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1990","1990","toneladas","3369300","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1991","1991","toneladas","2983000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1992","1992","toneladas","3177900","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1993","1993","toneladas","2809907","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1994","1994","toneladas","2799000","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1995","1995","toneladas","1694200","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1996","1996","toneladas","4517200","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1997","1997","toneladas","5879640","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1998","1998","toneladas","4279180","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","1999","1999","toneladas","3460100","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2000","2000","toneladas","4943800","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2001","2001","toneladas","6762600","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2002","2002","toneladas","4414911","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2003","2003","toneladas","7553566","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2004","2004","toneladas","5200029","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2005","2005","toneladas","4021720","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2006","2006","toneladas","5679021","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2007","2007","toneladas","6140251","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2008","2008","toneladas","5570727","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2009","2009","toneladas","6972094","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2010","2010","toneladas","7197600","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2011","2011","toneladas","7820060","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2012","2012","toneladas","3849300","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2013","2013","toneladas","9276100","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2014","2014","toneladas","4560400","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2015","2015","toneladas","5947700","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2016","2016","toneladas","7082550","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2017","2017","toneladas","6549499","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2018","2018","toneladas","9819570","","Datos oficiales"
"QCL","Cultivos y productos de ganadería","203","España","5510","Producción","260","Aceitunas, olivas","2019","2019","toneladas","5965080","","Datos oficiales"
