Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1980","1980","hg/ha","19498","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1981","1981","hg/ha","7437","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1982","1982","hg/ha","16316","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1983","1983","hg/ha","6479","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1984","1984","hg/ha","17289","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1985","1985","hg/ha","9700","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1986","1986","hg/ha","12394","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1987","1987","hg/ha","18858","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1988","1988","hg/ha","10927","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1989","1989","hg/ha","14341","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1990","1990","hg/ha","16324","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1991","1991","hg/ha","14383","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1992","1992","hg/ha","15494","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1993","1993","hg/ha","13432","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1994","1994","hg/ha","13367","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1995","1995","hg/ha","7994","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1996","1996","hg/ha","21251","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1997","1997","hg/ha","26634","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1998","1998","hg/ha","19504","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","1999","1999","hg/ha","15728","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2000","2000","hg/ha","21495","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2001","2001","hg/ha","28178","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2002","2002","hg/ha","18164","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2003","2003","hg/ha","30963","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2004","2004","hg/ha","21097","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2005","2005","hg/ha","16314","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2006","2006","hg/ha","22865","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2007","2007","hg/ha","24858","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2008","2008","hg/ha","22733","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2009","2009","hg/ha","28460","Fc","Datos calculados"
"QCL","Cultivos y productos de ganadería","203","España","5419","Rendimiento","260","Aceitunas, olivas","2010","2010","hg/ha","29076","Fc","Datos calculados"
